timestamp,course_enrolled,ccm_website,social_media,community_event,family_member_friend,current_ccm_student,ccm_alumni,high_school_teacher,high_school_counselor,in_app_advertisement,employer,billboard,television,radio,home_mailer,other_hear_about_ccm,affordable_cost,location_convenience,choice_of_programs,online_offerings,family_friend_referral,faculty_staff,college_reputation,financial_aid,scholarships,small_class_sizes,extra_curricular_opportunities,accepted_my_transfer_credits,negative_experience_at_another_college,nj_stars_program,ability_to_transfer_ccm_credits_to_a_4_year_school,get_college_credit_while_in_high_school,prior_to_applying_to_college_open_house,prior_to_applying_to_college_instant_decision_day,prior_to_applying_to_college_on_campus_information_session,prior_to_applying_to_college_titans_tuesday_virtual_information_session,prior_to_applying_to_college_women_who_dare,prior_to_applying_to_college_regional_college_fair,prior_to_applying_to_college_hs_sharetime_information_session,prior_to_applying_to_college_challenger_program,prior_to_applying_to_college_cybersecurity_information_protection_program_participation,prior_to_applying_to_college_information_session_at_my_high_school,prior_to_applying_to_college_campus_visit_with_my_high_school,prior_to_applying_to_college_campus_visit_individual,prior_to_applying_to_college_workforce_development_class,prior_to_applying_to_college_corporate_training,prior_to_applying_to_college_teen_arts_festival,prior_to_applying_to_college_summer_camp_at_ccm,prior_to_applying_to_college_hour_of_code,middle_high_school_computing_class_impact,middle_high_school_computing_related_club_impact,computing_related_competitions_impact,afterschool_computing_related_camp_program_impact,summer_computing_related_camp_program_impact,an_ap_computing_class_impact,a_dual_enrollment_computing_class_impact,family_or_friend_influence_impact,family_or_friend_working_in_the_computing_field_impact,high_school_teacher_or_guidance_counselor_impact,employer_influence_impact,current_ccm_student_influence_impact,experience_at_work_impact,other_influence_impact,degree_program_currently_enrolled_in,to_get_a_job_in_the_computing_field_motivation,transfer_to_bachelors_level_program_motivation,transfer_credits_back_to_hs_degree_motivation,career_advancement_motivation,career_change_motivation,professional_development_motivation,job_displacement_motivation,relocation_motivation,to_keep_current_in_tech_industry_motivation,it_industry_certifications_motivation,financial_motivation,personal_enrichment_motivation,high_school_guidance_counselor_source,high_school_teacher_source,ccm_information_technologies_website_source,ccm_admissions_source,ccm_advisor_counselor_source,employer_source,ccm_workforce_development_source,nj_workforce_development_program_source,other_source,first_choice_or_changed_majors,interest_in_taking_more_computing_classes,explanation_for_interest_in_taking_more_computing_classes,gender,race_ethnicity,age
2023/09/06 7:48:32 AM EST,Computing 128 Computer Science I,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Economics ,,,,,,,,,,,,,,,,,,,,,,,3.0,It’s not necessarily a requirement for my major ,Woman,Black,19-20
2023/09/06 7:50:24 AM EST,Computing 128 Computer Science I,No,Don't recall,Yes,Don't recall,Yes,No,No,Yes,No,No,No,No,No,No,No,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No,No,No,No,No,No,Yes,No,No,Not Sure,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,,EDAM share time,,,,,,,,,,,,,,,,,,,,,,,4.0,I do find coding interesting and I would like to learn more. The reason that it is not at a 5 is that I don’t know how much I’m going to enjoy the course yet as there haven’t been too many classes.,Man,White/Caucasian,18 and younger
2023/09/06 8:43:06 AM EST,Computing 128 Computer Science I,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Some Impact,High Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,High Impact,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,Some Impact,Some Impact,Some Impact,,Information Technology,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Don't recall,First Choice,,,Man,Hispanic/Latino,35-64
2023/09/06 9:18:50 AM EST,Computing 128 Computer Science I,Yes,Don't recall,Don't recall,Yes,Yes,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,High Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,Some Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,nursing,,,,,,,,,,,,,,,,,,,,,,,1.0,"i don’t see a reason in needing to take this class for nursing 
computers just seem boring ",Woman,White/Caucasian,19-20
2023/09/06 9:43:20 AM EST,,Don't recall,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,High Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Science,,,Man,Black,35-64
2023/09/06 10:09:20 AM EST,Computing 128 Computer Science I,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,Some Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,High Impact,Some Impact,No Impact,Some Impact,No Impact,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,First Choice,,,Man,White/Caucasian,19-20
2023/09/06 10:10:32 AM EST,Computing 128 Computer Science I,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,High Impact,,Some Impact,,High Impact,No Impact,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,High Impact,Some Impact,Some Impact,No Impact,Data Analytics Certificate of Achievement,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,First Choice,,,Man,Choose not to reply,21-24
2023/09/06 10:11:52 AM EST,Computing 128 Computer Science I,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,,,,,High Impact,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,,,,,,,Some Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,,Challenger Program,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Don't recall,LIberal Arts,,,Woman,Asian,18 and younger
2023/09/06 10:52:53 AM EST,Computing 128 Computer Science I,Yes,Yes,No,Yes,Yes,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,No,High Impact,High Impact,High Impact,Some Impact,,,,Some Impact,High Impact,,,,,,Some Impact,High Impact,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,,,,,,No Impact,Some Impact,Some Impact,,High Impact,,High Impact,Some Impact,,Undecided,,,,,,,,,,,,,,,,,,,,,,,4.0,It almost like a coding class. I like learning new things.,Man,Hispanic/Latino,18 and younger
2023/09/06 11:06:40 AM EST,Computing 128 Computer Science I,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Don't recall,High Impact,High Impact,Some Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,,,,,High Impact,,Not Sure,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,Some Impact,Some Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,Computer Science,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Don't recall,Don't recall,Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,First Choice,,,Man,Hispanic/Latino,21-24
2023/09/06 11:33:48 AM EST,Computing 128 Computer Science I,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,Not Sure,No,No,No,No,No,No,No,No,Not Sure,Yes,No,No,No,Yes,No,No,Some Impact,,,,,,,,,,Some Impact,,,Some Impact,"I am a student from MCVTS, and I am doing dual enrollment. ",,,,,,,,,,,,,,,,,,,,,,,5.0,"I am very interested in taking computer science courses as I want to make games in the future. Though I want to mainly focus on the art aspect of video games, I would also like to learn how to code and be able to make them myself. ",Woman,Hispanic/Latino;White/Caucasian,18 and younger
2023/09/06 11:37:16 AM EST,Computing 128 Computer Science I,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,High Impact,High Impact,High Impact,,,High Impact,Some Impact,,,High Impact,No Impact,High Impact,,,High Impact,High Impact,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Some Impact,No Impact,High Impact,High Impact,No Impact,,,High Impact,High Impact,High Impact,No Impact,Some Impact,,,ShareTime CSIP Program,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Engineering,,,Man,Asian,18 and younger
2023/09/06 11:57:01 AM EST,Computing 128 Computer Science I,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,High Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,Mechanical Engineering technology,,,,,,,,,,,,,,,,,,,,,,,5.0,Its a great skill to have in engineering also I always was fascinated with technology as a kid.,Man,Hispanic/Latino,25-34
2023/09/06 12:16:19 PM EST,Computing 128 Computer Science I,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,,,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,,No Impact,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Mechanical Engineering Technology,,,,,,,,,,,,,,,,,,,,,,,3.0,"All I would like to do is have a basic knowledge of computer parts and understand how they are being used to operate the digital system, also to find out computer parts are compatible with one another and how they perform with said parts. ",Man,White/Caucasian,19-20
2023/09/06 12:23:26 PM EST,Computing 128 Computer Science I,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,First Choice,,,Woman,Asian,19-20
2023/09/06 12:47:16 PM EST,Computing 128 Computer Science I,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Some Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,,No Impact,High Impact,,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,High Impact,Some Impact,,,,High Impact,,Some Impact,Some Impact,No Impact,,,,,Computer Science,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,First Choice,,,Man,White/Caucasian,18 and younger
2023/09/06 1:23:29 PM EST,Computing 128 Computer Science I,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,First Choice,,,Man,White/Caucasian,19-20
2023/09/06 1:23:30 PM EST,Computing 128 Computer Science I,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,Some Impact,High Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,,Electronic engineering Technology ,,,,,,,,,,,,,,,,,,,,,,,3.0,Not really into making websites and code more into working with circuits or building parts.  ,Man,White/Caucasian,19-20
2023/09/06 1:23:43 PM EST,Computing 128 Computer Science I,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,High Impact,High Impact,High Impact,No Impact,Some Impact,,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Not Sure,No,No,No,No,Not Sure,No,No,No,Not Sure,Yes,Yes,No,No,No,Yes,No,Some Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Liberal Arts,,,,,,,,,,,,,,,,,,,,,,,3.0,"It could be interesting and useful, but there are other subjects I want to focus on studying. ",Prefer not to say,White/Caucasian,19-20
2023/09/06 1:24:33 PM EST,Computing 128 Computer Science I,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,High Impact,High Impact,High Impact,High Impact,,,High Impact,High Impact,High Impact,Some Impact,Some Impact,,,,Some Impact,,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Some Impact,,,Some Impact,,,,High Impact,High Impact,Some Impact,,,,,Computer Science,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,First Choice,,,Man,White/Caucasian,25-34
2023/09/06 1:24:59 PM EST,Computing 128 Computer Science I,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,EDAM,,,,,,,,,,,,,,,,,,,,,,,3.0,I’m taking engineering classes as a back up to my career choice,Man,White/Caucasian,18 and younger
2023/09/06 1:25:39 PM EST,Computing 128 Computer Science I,Yes,Yes,Don't recall,Yes,No,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,No Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,Yes,No,Not Sure,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,,Computer Science,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Don't recall,First Choice,,,Man,White/Caucasian,18 and younger
2023/09/06 1:26:02 PM EST,Computing 128 Computer Science I,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Undecided,,,,,,,,,,,,,,,,,,,,,,,4.0,I would be interested because i am able to work with computers from anywhere and i would like to be able to travel,Man,White/Caucasian,18 and younger
2023/09/06 1:26:52 PM EST,Computing 128 Computer Science I,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,,High Impact,Some Impact,Some Impact,Some Impact,,No Impact,,High Impact,,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,No Impact,,Mechanical Engineering Technology,,,,,,,,,,,,,,,,,,,,,,,3.0,"Depending on if I enjoy this class, I would take more of these classes",Man,White/Caucasian,18 and younger
