timestamp,course_enrolled,ccm_website,social_media,community_event,family_member_friend,current_ccm_student,ccm_alumni,high_school_teacher,high_school_counselor,in_app_advertisement,employer,billboard,television,radio,other_hear_about_ccm,affordable_cost,location_convenience,choice_of_programs,online_offerings,family_friend_referral,faculty_staff,college_reputation,financial_aid,scholarships,small_class_sizes,extra_curricular_opportunities,accepted_my_transfer_credits,negative_experience_at_another_college,nj_stars_program,ability_to_transfer_ccm_credits_to_a_4_year_school,get_college_credit_while_in_high_school,prior_to_applying_to_college_open_house,prior_to_applying_to_college_instant_decision_day,prior_to_applying_to_college_on_campus_information_session,prior_to_applying_to_college_titans_tuesday_virtual_information_session,prior_to_applying_to_college_women_who_dare,prior_to_applying_to_college_regional_college_fair,prior_to_applying_to_college_hs_sharetime_information_session,prior_to_applying_to_college_challenger_program,prior_to_applying_to_college_cybersecurity_information_protection_program_participation,prior_to_applying_to_college_information_session_at_my_high_school,prior_to_applying_to_college_campus_visit_with_my_high_school,prior_to_applying_to_college_campus_visit_individual,prior_to_applying_to_college_workforce_development_class,prior_to_applying_to_college_corporate_training,prior_to_applying_to_college_teen_arts_festival,prior_to_applying_to_college_summer_camp_at_ccm,middle_high_school_computing_class_impact,middle_high_school_computing_related_club_impact,computing_related_competitions_impact,afterschool_computing_related_camp_program_impact,summer_computing_related_camp_program_impact,an_ap_computing_class_impact,a_dual_enrollment_computing_class_impact,family_or_friend_influence_impact,family_or_friend_working_in_the_computing_field_impact,high_school_teacher_or_guidance_counselor_impact,employer_influence_impact,current_ccm_student_influence_impact,experience_at_work_impact,other_influence_impact,degree_program_currently_enrolled_in,to_get_a_job_in_the_computing_field_motivation,high_school_guidance_counselor_source,high_school_teacher_source,ccm_information_technologies_website_source,ccm_admissions_source,ccm_advisor_counselor_source,employer_source,ccm_workforce_development_source,nj_workforce_development_program_source,other_source,first_choice_or_changed_majors,interest_in_taking_more_computing_classes,explanation_for_interest_in_taking_more_computing_classes,gender,race_ethnicity,age
2020/09/22 10:02:13 AM EST,Computing 128 Computer Science I,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,,No Impact,,No Impact,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,liberal arts major,,,,,,,,,,,,2.0,it was a required class because i failed the computer part of the test that i had to take before starting my first semester at ccm,Man,White/Caucasian,19-20
2020/09/22 10:05:23 AM EST,Computing 128 Computer Science I,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,Some Impact,,High Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,,No Impact,High Impact,No Impact,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,liberal Arts Major,,,,,,,,,,,,1.0,it was a required class that i had to take because i failed the computer section of the placement test,Man,White/Caucasian,19-20
2020/09/22 11:13:02 AM EST,Computing 128 Computer Science I,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,"Computer Science, Associate of Science",To get a job in the computing field;Transfer to bachelor's level program,No,No,No,Yes,No,No,No,No,No,First Choice,,,Man,Hispanic/Latino,18 and younger
2020/09/22 1:39:29 PM EST,Computing 120 Foundations of Information Security,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,High Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Security Certificate of Achievement,To get a job in the computing field;Transfer to bachelor's level program,No,No,No,No,No,No,No,No,No,First Choice,,,Man,White/Caucasian,18 and younger
2020/09/22 4:02:35 PM EST,Computing 120 Foundations of Information Security,Don't recall,No,Don't recall,Don't recall,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Don't recall,High Impact,High Impact,Some Impact,,,,Some Impact,Some Impact,,Some Impact,,,,,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,Information Security Certificate of Achievement,To get a job in the computing field;Career Advancement;Professional Development;Financial;Personal Enrichment,No,No,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Music Recording,,,Man,White/Caucasian,21-24
2020/09/22 4:10:01 PM EST,Computing 120 Foundations of Information Security,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Information Technology, Applied Associate of Science",To get a job in the computing field;Career Change;Personal Enrichment,No,No,Yes,No,Yes,No,No,No,No,First Choice,,,Man,Choose not to reply,25-34
2020/09/22 7:07:22 PM EST,Computing 120 Foundations of Information Security,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Information Technology, Applied Associate of Science",Transfer to bachelor's level program,No,No,No,No,No,No,No,No,No,Biology,,,Man,Asian,19-20
2020/09/22 8:25:14 PM EST,Computing 120 Foundations of Information Security,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Information Technology, Applied Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;Financial,No,No,Yes,No,No,No,No,No,No,First Choice,,,Woman,Multi-Racial,25-34
2020/09/22 8:28:35 PM EST,Computing 120 Foundations of Information Security,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Information Technology, Applied Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;Financial,No,No,Yes,No,No,No,No,No,No,First Choice,,,Woman,Multi-Racial,25-34
2020/09/22 8:29:06 PM EST,Computing 120 Foundations of Information Security,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Information Technology, Applied Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;Financial,No,No,Yes,No,No,No,No,No,No,First Choice,,,Woman,Multi-Racial,25-34
