timestamp,course_enrolled,ccm_website,social_media,community_event,family_member_friend,current_ccm_student,ccm_alumni,high_school_teacher,high_school_counselor,in_app_advertisement,employer,billboard,television,radio,other_hear_about_ccm,affordable_cost,location_convenience,choice_of_programs,online_offerings,family_friend_referral,faculty_staff,college_reputation,financial_aid,scholarships,small_class_sizes,extra_curricular_opportunities,accepted_my_transfer_credits,negative_experience_at_another_college,nj_stars_program,ability_to_transfer_ccm_credits_to_a_4_year_school,get_college_credit_while_in_high_school,prior_to_applying_to_college_open_house,prior_to_applying_to_college_instant_decision_day,prior_to_applying_to_college_on_campus_information_session,prior_to_applying_to_college_titans_tuesday_virtual_information_session,prior_to_applying_to_college_women_who_dare,prior_to_applying_to_college_regional_college_fair,prior_to_applying_to_college_hs_sharetime_information_session,prior_to_applying_to_college_challenger_program,prior_to_applying_to_college_cybersecurity_information_protection_program_participation,prior_to_applying_to_college_information_session_at_my_high_school,prior_to_applying_to_college_campus_visit_with_my_high_school,prior_to_applying_to_college_campus_visit_individual,prior_to_applying_to_college_workforce_development_class,prior_to_applying_to_college_corporate_training,prior_to_applying_to_college_teen_arts_festival,prior_to_applying_to_college_summer_camp_at_ccm,middle_high_school_computing_class_impact,middle_high_school_computing_related_club_impact,computing_related_competitions_impact,afterschool_computing_related_camp_program_impact,summer_computing_related_camp_program_impact,an_ap_computing_class_impact,a_dual_enrollment_computing_class_impact,family_or_friend_influence_impact,family_or_friend_working_in_the_computing_field_impact,high_school_teacher_or_guidance_counselor_impact,employer_influence_impact,current_ccm_student_influence_impact,experience_at_work_impact,other_influence_impact,degree_program_currently_enrolled_in,to_get_a_job_in_the_computing_field_motivation,high_school_guidance_counselor_source,high_school_teacher_source,ccm_information_technologies_website_source,ccm_admissions_source,ccm_advisor_counselor_source,employer_source,ccm_workforce_development_source,nj_workforce_development_program_source,other_source,first_choice_or_changed_majors,interest_in_taking_more_computing_classes,explanation_for_interest_in_taking_more_computing_classes,gender,race_ethnicity,age
2020/07/28 3:21:36 PM EST,Computing 239 Internet & Web Design,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Don't recall,Don't recall,No Impact,High Impact,Some Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,,No Impact,High Impact,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,"Computer Science, Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;Career Advancement;Career Change;Professional Development;Relocation;To keep current in tech industry;Financial;Personal Enrichment,No,No,Yes,No,Yes,No,No,No,No,First Choice,,,Man,Black,21-24
2020/07/28 4:07:22 PM EST,Computing 239 Internet & Web Design,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Not Sure,Not Sure,Not Sure,Not Sure,No,No,No,No,No,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,"Information Technology, Applied Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;IT Industry Certifications;Financial,No,No,Yes,No,No,No,No,No,No,Nursing,,,Woman,Multi-Racial,25-34
2020/07/28 8:12:47 PM EST,Computing 239 Internet & Web Design,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,,,,High Impact,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,High Impact,High Impact,,,,,,"Information Technology, Applied Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;Career Advancement;Career Change;Professional Development;Financial;Personal Enrichment,No,No,Yes,Yes,Yes,No,No,No,No,First Choice,,,Man,Hispanic/Latino,35-64
2020/07/29 10:53:03 AM EST,Computing 239 Internet & Web Design,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Non Degree seeking,,,,,,,,,,,,4.0,"I would love to learn more about coding and programming , especially about other programming languages that can code high-level programs. I think coding is an important part of every field in the future, which is a part of our modernized future. It's also interesting to me, and I'd like to learn more about it.",Woman,Asian,18 and younger
2020/07/29 4:26:21 PM EST,Computing 239 Internet & Web Design,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,High Impact,No Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,"Computer Science, Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;Career Change;IT Industry Certifications,No,No,Yes,Yes,Yes,No,No,No,No,First Choice,,,Man,White/Caucasian,25-34
2020/07/30 1:10:46 PM EST,Computing 239 Internet & Web Design,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,High Impact,,Some Impact,,,High Impact,,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,"Computer Science, Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;Career Advancement;Personal Enrichment,Yes,No,Yes,Yes,Don't recall,No,No,No,Yes,First Choice,,,Man,White/Caucasian,19-20
2020/07/30 6:01:39 PM EST,Computing 239 Internet & Web Design,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Web Development Certificate of Achievement,To get a job in the computing field;Career Advancement;Career Change;Professional Development;Financial;Personal Enrichment,No,No,Yes,Yes,No,No,No,No,No,completed a degree in Business Administration,,,Woman,White/Caucasian,35-64
2020/07/30 7:58:48 PM EST,Computing 239 Internet & Web Design,Yes,Don't recall,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,No,No,No,No,No,,High Impact,High Impact,Some Impact,High Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,,Some Impact,High Impact,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,,"Information Technology, Applied Associate of Science",Transfer to bachelor's level program;Career Advancement;Career Change;IT Industry Certifications,No,No,Yes,Yes,Yes,No,Don't recall,Don't recall,Don't recall,First Choice,,,Man,White/Caucasian,25-34
2020/07/31 1:58:09 PM EST,Computing 239 Internet & Web Design,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Information Technology, Applied Associate of Science",To get a job in the computing field;Transfer to bachelor's level program,No,No,No,No,No,No,No,No,No,undecided ,,,Man,Asian,21-24
2020/08/02 7:04:38 PM EST,Computing 239 Internet & Web Design,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Computer Science, Associate of Science",To get a job in the computing field,No,No,No,No,No,No,No,No,No,First Choice,,,Man,Asian,21-24
2020/08/03 11:24:59 AM EST,Computing 239 Internet & Web Design,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Some Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,"Information Technology, Applied Associate of Science","To get a job in the computing field;Transfer to bachelor's level program;Transfer credits back to HS degree (ShareTime, Challenger Program);Financial",Yes,No,No,No,No,No,No,No,No,First Choice,,,Man,White/Caucasian,18 and younger
2020/08/03 12:00:01 PM EST,Computing 239 Internet & Web Design,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,Engineering Science,,,,,,,,,,,,5.0,"I'm making a shift from Engineering to IT, as it is more clear and manageable for me to complete my degree and take the next steps to more education or launching my career, in addition to the significantly greater support from the IT and Computer Science faculty and staff than the Engineering department",Man,White/Caucasian,25-34
2020/08/03 2:01:43 PM EST,Computing 239 Internet & Web Design,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Some Impact,High Impact,Some Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,,"Digital Media Technology, Applied Associate of Science",To get a job in the computing field,No,No,No,No,No,No,No,No,No,Animation ,,,Man,White/Caucasian,19-20
2020/09/08 10:47:44 PM EST,Computing 128 Computer Science I,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,No Impact,High Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Undecided,,,,,,,,,,,,5.0,It is already the future.,Man,Hispanic/Latino,25-34
2020/09/09 9:21:38 AM EST,Computing 128 Computer Science I,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Some Impact,High Impact,High Impact,No Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,,,High Impact,,,High Impact,Some Impact,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,High Impact,High Impact,High Impact,,,High Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,,"Computer Science, Associate of Science",To get a job in the computing field;To keep current in tech industry,No,No,Yes,No,No,No,No,No,Yes,First Choice,,,Man,Hispanic/Latino,18 and younger
2020/09/09 9:27:47 AM EST,Computing 128 Computer Science I,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,"Computer Science, Associate of Science",Financial;Something to fall back on if my main career choice falls through.,No,No,Yes,Yes,Yes,No,No,No,No,I changed it a couple times. First one was game design.,,,Woman,Hispanic/Latino,18 and younger
2020/09/09 9:59:49 AM EST,Computing 128 Computer Science I,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,,High Impact,,,High Impact,High Impact,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,,,,High Impact,High Impact,,,,,,"Computer Science, Associate of Science",To get a job in the computing field;Transfer to bachelor's level program,Yes,No,No,Yes,Yes,No,No,No,No,MET/ES Dual Degree,,,Man,White/Caucasian,21-24
2020/09/09 10:15:32 AM EST,Computing 128 Computer Science I,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Some Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,High Impact,High Impact,Some Impact,,,High Impact,,Yes,No,Yes,No,No,Yes,No,No,Not Sure,Yes,Yes,No,No,No,No,Yes,High Impact,Some Impact,,,,High Impact,,High Impact,High Impact,High Impact,,,,,"Computer Science, Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;To keep current in tech industry,Don't recall,Yes,Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,First Choice,,,Woman,Asian,18 and younger
2020/09/09 10:43:41 AM EST,Computing 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Don't recall,Some Impact,Some Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Some Impact,,,,,,,Some Impact,Some Impact,Some Impact,,,,,Non Degree seeking,,,,,,,,,,,,5.0,"These classes could lead me to jobs that can be done online, web design in particular which interested me in both the technical and creative aspects alike.",Woman,Hispanic/Latino;American Indian/Native American/Alaska Native;White/Caucasian;Multi-Racial,19-20
2020/09/09 12:37:11 PM EST,Computing 128 Computer Science I,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Information Technology, Applied Associate of Science",To get a job in the computing field;Transfer to bachelor's level program,No,No,No,No,No,No,No,No,No,Nursing,,,Woman,Black,21-24
2020/09/09 12:37:16 PM EST,Computing 128 Computer Science I,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,Some Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,High Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Computer Science, Associate of Science",Transfer to bachelor's level program;Personal Enrichment,No,No,No,No,No,No,No,No,No,I was a musical theatre major first but the program that I wanted to transfer too would not accept CCM credits.,,,Man,White/Caucasian,19-20
2020/09/09 1:21:27 PM EST,Computing 128 Computer Science I,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,High Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,"Computer Science, Associate of Science",To get a job in the computing field;To keep current in tech industry;Personal Enrichment,Yes,Yes,No,No,No,No,No,No,No,First Choice,,,Man,White/Caucasian,18 and younger
2020/09/09 2:28:37 PM EST,Computing 128 Computer Science I,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Don't recall,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Undecided,,,,,,,,,,,,3.0,I want to Give Computer Science a try to understand technology better ,Woman,Asian,19-20
2020/09/09 4:18:53 PM EST,Computing 128 Computer Science I,No,No,No,Don't recall,No,No,No,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,No Impact,No Impact,Some Impact,,,,,High Impact,High Impact,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Some Impact,Some Impact,,,,,,,,High Impact,,,,,Challenger Program,To get a job in the computing field;Transfer to bachelor's level program;Career Advancement,Yes,No,No,No,No,No,No,No,No,First Choice,,,Man,Asian,18 and younger
2020/09/09 4:47:03 PM EST,Computing 239 Internet & Web Design,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Don't recall,High Impact,High Impact,High Impact,High Impact,High Impact,,,,,,,,,,High Impact,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,,,,,,,High Impact,High Impact,,,,,,"Information Technology, Applied Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;Career Advancement;IT Industry Certifications;Financial,Don't recall,Don't recall,Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,First Choice,,,Man,Asian,19-20
2020/09/09 6:34:29 PM EST,Computing 239 Internet & Web Design,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Undecided,,,,,,,,,,,,5.0,"Because the future is in computers, especially since there's not much left to do during this time.",Man,Hispanic/Latino,19-20
2020/09/09 6:35:29 PM EST,Computing 239 Internet & Web Design,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Non Degree seeking,,,,,,,,,,,,5.0,"It keeps things interesting. I am an older student working in IT and I find that I came into IT with time and need for resources, but I don't have the background that new hires have in computers, particularly exposure to programming, different OS, etc.",Woman,Hispanic/Latino,35-64
2020/09/09 6:36:37 PM EST,Computing 239 Internet & Web Design,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Don't recall,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,,Some Impact,Some Impact,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,Business Administration,,,,,,,,,,,,2.0,I am not a very technologically oriented however I believe in having diverse skills.,Woman,Hispanic/Latino,19-20
2020/09/10 10:25:38 AM EST,Computing 128 Computer Science I,Yes,No,No,Yes,Yes,No,No,No,No,No,Don't recall,No,No,No,High Impact,Some Impact,Some Impact,Some Impact,,,Some Impact,High Impact,,No Impact,No Impact,,,,Some Impact,,Not Sure,Yes,No,Not Sure,No,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"CIS Game Development Option, Applied Associate of Science",To get a job in the computing field;Career Advancement;Professional Development;Personal Enrichment,Don't recall,Don't recall,Yes,Yes,No,Don't recall,Don't recall,Don't recall,Don't recall,First Choice,,,Man,White/Caucasian,21-24
2020/09/10 10:34:47 AM EST,Computing 128 Computer Science I,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,,,,,,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,,,,,,,,High Impact,High Impact,Some Impact,,,,,"Information Technology, Applied Associate of Science",To get a job in the computing field;Career Change,No,No,No,Yes,Yes,No,No,No,No,radiography,,,Woman,White/Caucasian,19-20
2020/09/10 11:31:16 AM EST,Computing 128 Computer Science I,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,High Impact,,,,,,,,,Some Impact,,,Some Impact,High Impact,High Impact,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,Mechanical Engineering Technology,,,,,,,,,,,,1.0,I am only taking this CMP class as a replacement for ENR 120 which is not offered by the college anymore,Man,Hispanic/Latino;White/Caucasian,19-20
2020/09/10 12:40:05 PM EST,Computing 128 Computer Science I,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Don't recall,High Impact,Some Impact,High Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,High Impact,,,High Impact,Some Impact,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Not Sure,No,No,No,No,No,Some Impact,,,Some Impact,,Some Impact,,,,,,,,,Mechanical Engineering Technology ,,,,,,,,,,,,3.0,"For me, writing in a computer language is difficult.  Just like learning any new language.",Man,White/Caucasian,21-24
2020/09/10 12:55:21 PM EST,Computing 239 Internet & Web Design,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Don't recall,High Impact,Some Impact,No Impact,,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,Not Sure,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Information Technology, Applied Associate of Science",Personal Enrichment,No,No,Yes,No,No,No,No,No,No,First Choice,,,Man,White/Caucasian,19-20
2020/09/10 1:05:00 PM EST,Computing 128 Computer Science I,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Mechanical Engineering, Associate in Applied Science",,,,,,,,,,,,3.0,Is a really good tool to know about computing but i also known is very complicated. i took two computer programming classes in my last college and they were really challenging. so i do not think i see myself taking another class after this one.,Woman,Hispanic/Latino,21-24
2020/09/10 1:35:39 PM EST,Computing 128 Computer Science I,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No Impact,"Computer Science, Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;Professional Development;Financial,Yes,No,No,Yes,Yes,No,No,No,No,First Choice,,,Woman,Hispanic/Latino,18 and younger
2020/09/10 2:18:06 PM EST,Computing 128 Computer Science I,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,,,,,,,,,,,,,Non Degree seeking,,,,,,,,,,,,3.0,Computer Science is not my main focus,Man,Asian,19-20
2020/09/10 2:20:05 PM EST,Computing 128 Computer Science I,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Some Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Mechanical Engineering Tech,,,,,,,,,,,,3.0,"It is too soon to tell being my first class, but if all goes well I will be interested ",Man,White/Caucasian,21-24
2020/09/10 2:21:30 PM EST,Computing 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,,,,High Impact,High Impact,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Business Administration,,,,,,,,,,,,4.0,I would be interested in taking another computing class only if I do well and enjoy my first class.,Woman,White/Caucasian,19-20
